sep=,
completed_at,content,id,item_object,meta_data,note_count,project_id,section_id,task_id,user_id
2024-03-11T23:11:19.000000Z,Migrate secure files to proton @Marzo,7133754321,,,0,2230819425,,7783031982,27122492
2024-03-11T19:44:05.000000Z,Lunch,7133249809,,,0,2307313234,,7597625699,27122492
2024-03-11T19:44:03.000000Z,Breakfast,7133249735,,,0,2307313234,,7562880954,27122492
2024-03-11T15:31:19.000000Z,Update my calendar @Marzo,7132440486,,,0,2311885087,,7781680294,27122492
2024-03-11T15:30:46.000000Z,Start swimming @Large @Alexa @Marzo,7132438527,,,0,2311885087,,7767246273,27122492
2024-03-11T15:30:45.000000Z,Enrol on a pool @Alexa @Marzo,7132438323,,,0,2311885087,,7767252384,27122492
2024-03-11T15:30:42.000000Z,Test some of the pools @Alexa @Marzo,7132438124,,,0,2311885087,,7767248719,27122492
2024-03-11T14:58:11.000000Z,Perform claim,7132319955,,,0,2317869723,132082037,6718716877,27122492
2024-03-11T14:41:28.000000Z,Clear communications,7132257613,,,0,2307313234,,7411309151,27122492
2024-03-11T14:41:25.000000Z,Amazon prime,7132257462,,,0,2307313234,,7681232134,27122492
2024-03-11T12:57:44.000000Z,Take out the trash,7131892993,,,0,2307313234,,7648725659,27122492
2024-03-09T21:55:10.000000Z,Update budget,7127941404,,,0,2307313234,112501044,7615133084,27122492
2024-03-09T19:51:45.000000Z,Move the monitor stand a little down @Marzo,7127750610,,,0,2315776239,,7770462646,27122492
2024-03-08T23:03:10.000000Z,Send an email to panzariou about the biggest challenge,7125920461,,,0,2317869723,132627041,7770296054,27122492
2024-03-08T21:18:17.000000Z,MCMP-CCM,7125725985,,,0,2316033648,128501161,7735258013,27122492
2024-03-08T21:18:11.000000Z,OSSC/COO FE-Agents,7125725864,,,0,2316033648,128501161,7659616748,27122492
2024-03-08T21:18:11.000000Z,Get list of repositories,7125725856,,,0,2316033648,128501161,7659616752,27122492
2024-03-08T21:18:11.000000Z,Run the OSS scanning,7125725848,,,0,2316033648,128501161,7659616760,27122492
2024-03-08T21:18:11.000000Z,Request revision for the OSSC,7125725838,,,0,2316033648,128501161,7659616791,27122492
2024-03-08T21:18:11.000000Z,Create the defect,7125725827,,,0,2316033648,128501161,7659616779,27122492
2024-03-08T21:18:11.000000Z,Get the approval of the OSSC,7125725816,,,0,2316033648,128501161,7659616795,27122492
2024-03-08T21:18:11.000000Z,Report the findings @Email,7125725813,,,0,2316033648,128501161,7659616772,27122492
2024-03-08T21:18:11.000000Z,Talk with the dev team about the findings,7125725809,,,0,2316033648,128501161,7659616787,27122492
2024-03-08T21:18:11.000000Z,Send the closure email,7125725798,,,0,2316033648,128501161,7659616817,27122492
2024-03-08T21:18:11.000000Z,Generate COO Report,7125725791,,,0,2316033648,128501161,7659616802,27122492
2024-03-08T21:18:11.000000Z,Create the KIPS request,7125725784,,,0,2316033648,128501161,7659616807,27122492
2024-03-08T21:18:11.000000Z,Get the approval of the COO,7125725778,,,0,2316033648,128501161,7659616811,27122492
2024-03-08T21:18:00.000000Z,Lunch,7125725374,,,0,2307313234,,7597625699,27122492
2024-03-08T18:57:14.000000Z,Create text to Maithri,7125423436,,,0,2317869723,132627041,7770307369,27122492
2024-03-08T17:40:56.000000Z,do the dishes,7125239016,,,0,2307313234,,7771539426,27122492
2024-03-08T17:40:56.000000Z,Read time,7125238955,,,0,2315776194,148233921,7674665625,27122492
2024-03-08T17:40:37.000000Z,Shower,7125238135,,,0,2307313234,,7648101922,27122492
2024-03-08T17:40:32.000000Z,Clear communications,7125237909,,,0,2307313234,,7411309151,27122492
2024-03-08T17:40:31.000000Z,Breakfast,7125237880,,,0,2307313234,,7562880954,27122492
2024-03-07T22:09:26.000000Z,Lunch,7122976173,,,0,2307313234,,7597625699,27122492
2024-03-07T22:09:23.000000Z,Shower,7122976065,,,0,2307313234,,7648101922,27122492
2024-03-07T17:13:41.000000Z,Wall Street English,7122261049,,,0,2307313234,,7756168966,27122492
2024-03-07T16:46:37.000000Z,Breakfast,7122183846,,,0,2307313234,,7562880954,27122492
